iterID,Formulation,A,B,C,D,E,F,Stress,Modulus,Toughness,ExpectedStress,ExpectedModulus,ExpectedToughness
1,71,0.06,0.3,0.41,0.01,0.01,0.21,428.673193,1.95821777,73565.0149,0,0,0
1,72,0.08,0.32,0.5,0.07,0.02,0.01,420.345846,1.75013371,70958.037,0,0,0
1,73,0.15,0.28,0.25,0.01,0.06,0.25,185.739749,1.99981795,39188.2443,0,0,0
1,75,0,0,0,0,0,1,307.591423,2.93333353,68673.8814,0,0,0
1,76,0,0,0,0,1,0,248.079119,0.336878815,41639.4837,0,0,0
2,77,0.02,0.11,0,0.5,0.03,0.34,330.421988,1.60926515,58954.7196,529.9621,2.5173,93080.4578
2,78,0.01,0.19,0,0,0,0.8,261.189724,2.53559208,54113.5267,468.2175,3.4177,71636.1514
2,79,0.01,0.39,0,0.02,0.01,0.57,374.390709,2.13131335,72005.0906,626.0288,2.037,62114.1625
2,80,0.18,0.12,0,0.36,0,0.34,442.193167,1.64259475,73645.0393,531.2292,2.3753,94363.5215
3,81,0.01,0,0.13,0.25,0,0.61,325.545413,2.25765632,65492.6759,367.2088,1.7821,59082.1104
3,82,0.32,0,0.12,0.01,0,0.55,407.456322,1.7141856,79298.8675,466.2497,1.9339,65119.3931
3,83,0.01,0.15,0.1,0.21,0,0.53,280.776835,2.08900112,55835.4428,504.6006,1.8332,74827.5906
3,84,0.01,0,0.15,0.25,0,0.59,345.444474,2.26394819,66935.485,431.3873,1.862,63174.8981
4,85,0.15,0.45,0.04,0.03,0.01,0.32,337.876572,1.71234835,65225.4544,579.1882,1.8425,83516.161
4,86,0.05,0.32,0,0.57,0.06,0,380.509871,0.614638025,47362.4095,629.7075,2.5501,67898.3554
4,87,0.31,0.52,0,0.08,0.02,0.07,423.788643,1.31213096,68132.9194,722.4119,1.5994,78127.4318
4,88,0.15,0.04,0.13,0.67,0.01,0,412.913683,0.722138878,59055.9302,451.7637,1.8895,52929.5444
5,89,0,0.21,0.2,0.58,0.01,0,389.716286,1.29748601,60315.7332,0,0,0
5,90,0,0.01,0.28,0.67,0.01,0.03,243.929876,1.58162916,43427.1956,0,0,0
5,92,0.01,0.28,0.11,0.46,0.11,0.03,418.816565,1.12186685,61444.5239,0,0,0
6,93,0.49,0.06,0,0.14,0.02,0.29,463.109402,1.4660063,81856.9346,682.7553,1.7083,91379.6391
6,95,0.14,0,0.07,0.01,0.01,0.77,260.491885,1.94211828,59060.6871,565.6392,3.4371,59919.9628
6,96,0.03,0.58,0.18,0.04,0.1,0.07,461.12711,1.56971713,75813.0467,571.6375,1.4028,93170.9962
7,97,0,0.31,0.01,0.02,0.15,0.51,434.919506,1.97230365,80545.7853,534.2951,2.2274,89881.9832
7,98,0.25,0.01,0.01,0.04,0.13,0.56,411.274128,1.70716909,85333.3874,579.8267,2.85,61983.0706
7,99,0.29,0.45,0.06,0.08,0.12,0,593.815665,1.07583283,82484.6477,622.5192,1.0988,91870.281
7,100,0.02,0.01,0.16,0.01,0.5,0.3,331.64314,1.22611547,62332.4475,385.7164,1.2922,83960.5285
8,101,0.02,0.24,0,0.03,0.26,0.45,461.8788,1.57260422,80820.6379,582.5741,1.81,91404.9324
8,102,0,0.01,0,0.01,0.27,0.71,386.398811,1.90978693,76223.9833,596.8904,2.303,72078.9333
8,103,0.09,0.02,0,0.06,0.4,0.43,458.616847,1.38646577,78606.8274,604.4295,1.4163,99137.3893
8,104,0,0.16,0,0,0.25,0.59,386.154564,1.79690294,73308.3934,568.6965,2.1065,82689.5153
9,105,0.32,0.09,0.02,0.01,0.01,0.55,420.675702,1.89630943,83069.876,649.65,1.8365,84439.6124
9,106,0,0.08,0.13,0,0.11,0.68,256.344434,2.25418135,53258.3199,388.4905,2.0675,65462.1878
9,107,0.39,0.01,0.03,0,0,0.57,343.78637,1.89751954,72697.8828,571.4654,1.6914,88907.1518
9,108,0.26,0.18,0.02,0.01,0.01,0.52,317.096786,1.92362121,66141.331,595.5315,1.9644,83132.9852
10,109,0.2,0.16,0,0,0,0.64,405.560838,1.93800612,81223.2023,382.3901,2.1225,117205.965
10,110,0.51,0.31,0.07,0.01,0.01,0.09,579.270774,1.04373744,87100.5169,552.9846,1.0542,93655.3273
10,111,0.14,0.17,0.02,0,0,0.67,297.266426,2.26639912,61771.9743,320.2197,2.4407,102527.305
10,112,0,0.03,0.02,0.21,0.32,0.42,230.002439,1.7750448,53153.7094,569.2048,1.498,82405.8718
11,113,0.57,0,0.11,0.01,0.1,0.21,296.312578,0.894600436,60049.3899,0,0,0
11,114,0.51,0.25,0.1,0.02,0.12,0,625.133657,1.12529999,94708.7918,0,0,0
11,115,0.51,0.01,0.07,0.02,0.11,0.28,559.440431,1.56038983,98460.5528,0,0,0
11,116,0,0,0,0.02,0,0.98,350.273351,2.67235249,74202.1381,0,0,0
12,117,0.6,0,0.03,0,0.02,0.35,483.807303,1.57697958,91455.1658,752.7196,1.8059,85821.07
12,118,0.34,0,0.11,0.01,0.06,0.48,333.604759,1.83398003,67470.0844,449.7875,1.7767,80445.5668
12,119,0.44,0.11,0.11,0,0.06,0.28,401.363941,1.51756418,75081.6898,443.8871,1.473,89754.3676
12,120,0.66,0,0.08,0,0,0.26,339.814694,1.1731085,68370.6235,654.2678,1.6613,87852.6442
13,121,0.37,0.47,0.1,0,0.06,0,619.826954,1.31590525,92324.89,578.3659,1.052,82047.9035
13,122,0.44,0.3,0.09,0.04,0.13,0,456.609483,1.03197172,73399.8497,639.6828,0.824,82863.0743
13,123,0.27,0.61,0.12,0,0,0,527.115984,1.20521121,80673.3135,549.2717,1.2476,72901.6758
13,124,0.01,0,0,0.02,0.08,0.89,182.013155,2.14594591,33836.3245,408.6101,2.5819,75139.6141
14,126,0.21,0.11,0.06,0,0.14,0.48,299.493548,1.91150226,62779.5207,491.3358,1.9027,82596.1881
14,128,0.52,0.01,0.01,0,0,0.46,342.483142,1.80839532,73190.6083,457.2228,1.5108,106311.351
15,129,0,0.38,0.01,0,0,0.61,292.548353,2.10028229,64376.6034,422.9048,2.4327,67738.1361
15,130,0,0.31,0.01,0,0,0.68,284.196076,2.03368019,60695.87,393.0368,2.4913,68252.3848
15,131,0.32,0.34,0.02,0,0.01,0.31,418.679402,1.51207348,75788.0791,516.5047,1.6139,89753.8834
15,132,0.01,0.41,0,0,0.01,0.57,272.51303,1.9526789,60034.6655,433.7808,2.2843,69687.5726
16,133,0,0.41,0,0.13,0,0.46,324.966289,1.99693495,65021.8788,408.9601,2.114,86230.1234
16,134,0,0.18,0,0.26,0.01,0.55,361.405893,2.09134983,69395.5054,386.3772,2.494,72858.5843
16,135,0.04,0.45,0,0.07,0.01,0.43,310.119487,1.91916345,61302.0228,398.744,2.0045,89244.2329
16,136,0,0.25,0,0.25,0,0.5,321.029788,2.01991252,62665.9535,409.0192,2.3063,73522.789
17,137,0.36,0.2,0.02,0.08,0,0.34,408.26433,1.58181827,76317.7673,469.9287,1.6915,94267.3672
17,138,0.21,0,0,0.33,0.01,0.45,398.256047,1.91142764,74552.8783,387.1112,2.2831,60697.9407
17,139,0.25,0,0,0.31,0.01,0.43,437.966015,1.81101873,79745.2693,405.9809,2.1574,60633.5716
17,140,0.19,0,0,0.32,0.01,0.48,402.977225,1.88421196,75747.1961,372.1932,2.3254,64738.4928
18,141,0,0.63,0.1,0,0,0.27,367.764557,1.7661308,65605.9795,454.713852,1.68891433,82340.3479
18,142,0,0.66,0.09,0,0,0.25,392.940581,1.89131262,69484.2021,458.391503,1.69576088,82453.6796
18,143,0,0.33,0.11,0.01,0,0.55,317.105052,2.19523337,63761.722,346.515579,2.11820321,58988.6673
18,144,0,0.68,0.09,0,0.01,0.22,355.601508,1.80136582,64450.3268,468.273521,1.66655105,85247.7962
19,145,0.35,0,0,0.01,0,0.64,438.268759,2.12052202,87348.601,401.462456,1.99581445,90016.4251
19,146,0.01,0,0,0.36,0,0.63,334.733863,2.04072446,65124.3182,348.347802,2.27968422,85093.3101
19,147,0.48,0,0.01,0,0.12,0.39,514.029286,1.54432647,93643.6527,450.388768,1.9208217,84796.3273
19,148,0.39,0,0,0.02,0.01,0.58,526.10931,1.91759371,98663.7705,417.346515,1.88544269,90578.6559
20,152,0.4,0.17,0,0,0.12,0.31,555.082587,1.41009083,91162.3449,591.197858,1.45701582,79968.9572
20,153,0.44,0.27,0,0,0.17,0.12,653.976001,1.12145854,96005.8355,638.990393,1.11371299,75131.2918
20,154,0.34,0.14,0,0,0.13,0.39,613.315698,1.35448687,102903.809,555.232919,1.6359133,81569.2987
20,155,0.33,0.12,0,0,0.13,0.42,574.568764,1.47624378,99854.671,542.080781,1.68538358,81041.4723
21,156,0.39,0,0,0,0.22,0.39,596.199581,1.58512832,97568.0584,600.168317,1.43751874,105029.714
21,157,0.39,0.31,0,0,0.22,0.08,673.873293,1.30851847,96609.9429,697.321923,1.04802444,94604.4999
21,158,0.41,0,0,0,0.25,0.34,570.925332,1.57204291,97057.6408,621.003223,1.30582453,105824.487
21,159,0.35,0,0,0,0.2,0.45,453.616031,1.8558735,85374.7271,567.017333,1.57569777,101913.308
22,160,0.33,0,0,0,0.21,0.46,512.368511,1.7798611,93175.9066,557.996647,1.66855966,101482.629
22,161,0.31,0,0,0,0.2,0.49,384.823554,1.85102776,77997.5467,541.176271,1.73342006,100965.833
22,162,0.35,0,0,0,0.21,0.44,536.01494,1.71126555,96497.9814,567.241469,1.62519891,101725.27
22,163,0.2,0,0,0,0.01,0.79,289.971224,1.9717393,66399.4183,363.851601,2.20191509,69255.4139
23,164,0.5,0,0,0,0.3,0.2,596.718587,0.998163118,92484.7775,668.407043,1.14026476,104438.019
23,165,0.53,0.06,0,0,0.32,0.09,390.527786,0.886866118,64360.6166,702.725704,0.80019302,100639.968
23,166,0.53,0,0,0,0.33,0.14,429.986491,0.796820208,68899.7837,690.05825,0.95512205,103268.693
23,167,0.42,0,0,0,0.27,0.31,397.029121,1.084965,76450.3138,614.532954,1.41877261,102064.304
24,168,0.42,0.01,0,0,0.14,0.43,413.421619,1.72759505,80202.5821,513.092346,1.67185936,100892.516
24,169,0.39,0,0,0,0.13,0.48,512.469968,1.66638787,92116.8858,504.231534,1.80170405,99857.9563
24,170,0.44,0,0,0.05,0.13,0.38,627.310456,1.58802016,103558.915,502.738006,1.54004513,101278.576
24,171,0.28,0,0,0.11,0.08,0.53,459.28696,1.87599114,85164.1567,429.785605,1.93669668,93073.0314
25,172,0.42,0.12,0,0,0.06,0.4,489.120612,1.86524591,89171.2803,547.631293,1.65149291,94208.2009
25,173,0.42,0.11,0,0.01,0.07,0.39,523.325256,1.81836797,92589.2154,550.420038,1.62406489,94949.855
25,174,0.42,0.11,0,0,0.04,0.43,483.708958,2.00707303,89596.871,532.66342,1.73503709,91855.5702
25,175,0.45,0.08,0,0,0.05,0.42,506.594711,1.87263876,91082.8276,538.48583,1.70262233,93173.0409
26,176,0.41,0.14,0,0,0.07,0.38,414.537299,1.43948393,76845.553,550.618526,1.68560732,94743.8847
26,177,0.41,0.12,0,0,0.06,0.41,497.645061,1.59436483,86257.9869,537.919575,1.75099329,93691.7194
26,178,0.42,0.16,0,0,0.07,0.35,387.447811,1.51753445,74536.3039,561.436833,1.61622546,94948.5245
26,179,0.4,0.13,0,0,0.08,0.39,605.305508,1.70128326,100894.656,547.899932,1.69898918,95162.1206
27,180,0.25,0,0,0,0,0.75,330.177222,2.38747217,72121.0094,378.13894,2.19562659,72922.2722
27,181,0.27,0,0,0,0,0.73,430.664785,2.06053242,85776.8507,389.803431,2.15766498,74703.6037
27,182,0.23,0,0,0,0,0.77,379.299564,1.23502655,79505.9871,366.604485,2.23441119,71138.457
27,183,0.24,0,0,0,0,0.76,229.344396,2.29131322,55840.0617,372.333907,2.21492873,72029.9138
28,185,0.27,0,0,0,0.14,0.59,373.960881,1.76204672,76874.3459,454.941529,1.94030603,93321.5838
28,186,0.3,0,0,0,0.09,0.61,304.94596,1.89195558,67570.8658,439.777738,1.97664722,90271.4876
28,187,0.32,0.01,0,0,0.09,0.58,474.14794,1.64474647,89096.7259,452.500521,1.95825021,91366.1893
29,188,0.21,0,0,0,0,0.79,-1,-1,-1,328.45747,2.17885759,75156.9765
29,189,0.23,0,0,0,0,0.77,-1,-1,-1,335.576894,2.13171199,76347.7048
29,190,0.19,0,0,0,0,0.81,-1,-1,-1,321.612261,2.22987433,73979.7316
29,191,0.19,0.06,0,0,0,0.75,-1,-1,-1,317.693424,2.14004644,75557.8727
